CyberShake_30, d1.0, 1, 1, 3, 1, 3, 1, 3, 1, 3, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 3, 1, 4, 1, 3, 1, 3, 1, 1, 1, 3, 1, 3, 1, 1, 1, 3, 3, 3, 1, 1, 1, 3, 1, 3, 1, 3, 1, 3, 1, 1, 1, 3, 1, 1, 1, 1, 1, 1, 1, 3, 1, 1, 1, 3, 3, 3, 3, 1, 1, 1, 1, 3, 3, 3, 1, 1, 3, 1, 1, 1, 3, 1, 1, 1, 3, 1, 1, 1, 1, 1, 1, 3, 1, 1, 3, 1, 1, 
CyberShake_30, d1.0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 
CyberShake_30, d1.0, 4.123, 3.059, 3.059, 2.128, 1.596, 3.99, 1.441, 2.394, 2.5940000000000003, 3.724, 2.66, 5.852, 3.458, 2.66, 4.256, 1.7730000000000001, 3.192, 4.256, 2.128, 3.99, 2.926, 4.921, 1.108, 4.389, 1.663, 5.32, 2.7270000000000003, 5.852, 3.724, 3.458, 4.389, 2.527, 2.262, 2.261, 2.394, 1.729, 3.724, 4.788, 4.256, 4.256, 2.527, 2.926, 2.261, 4.522, 3.99, 3.724, 1.464, 3.99, 2.261, 4.123, 4.256, 5.054, 1.596, 3.724, 2.261, 5.054, 4.788, 3.724, 3.857, 3.724, 2.926, 4.522, 3.325, 2.926, 3.724, 4.788, 3.591, 2.66, 2.527, 1.4620000000000002, 3.458, 3.458, 4.788, 4.788, 4.123, 3.591, 4.522, 4.256, 3.192, 3.192, 3.192, 3.458, 3.192, 2.2620000000000005, 2.66, 4.256, 3.458, 1.729, 2.926, 3.99, 3.591, 6.118, 5.586, 2.926, 1.463, 5.586, 3.192, 2.394, 3.458, 4.522, 
CyberShake_30, d2.0, 3, 1, 3, 1, 3, 1, 3, 1, 3, 1, 3, 1, 3, 1, 3, 1, 1, 1, 1, 1, 3, 1, 3, 3, 1, 3, 3, 4, 3, 3, 3, 1, 3, 3, 3, 3, 3, 1, 3, 3, 3, 3, 1, 1, 3, 1, 3, 3, 1, 3, 3, 4, 1, 3, 3, 1, 3, 3, 1, 1, 3, 3, 3, 1, 3, 3, 3, 3, 3, 3, 3, 1, 4, 3, 3, 3, 3, 1, 3, 3, 3, 1, 3, 3, 3, 1, 3, 3, 3, 3, 1, 3, 3, 3, 1, 3, 3, 3, 3, 1, 
CyberShake_30, d2.0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 
CyberShake_30, d2.0, 0.7329999999999999, 0.6679999999999999, 0.532, 0.532, 0.532, 0.532, 0.532, 0.6200000000000001, 0.532, 0.599, 0.6659999999999999, 0.6659999999999999, 0.532, 0.599, 0.798, 0.532, 0.532, 0.5760000000000001, 0.532, 0.532, 0.532, 0.599, 0.532, 0.532, 0.734, 0.532, 0.532, 1.064, 0.532, 0.665, 0.798, 0.7329999999999999, 0.532, 0.532, 0.532, 0.532, 0.532, 0.599, 0.532, 0.532, 0.532, 0.532, 0.599, 0.6659999999999999, 0.643, 0.643, 0.532, 0.5760000000000001, 0.466, 0.798, 0.532, 0.798, 0.5760000000000001, 0.532, 0.532, 0.71, 0.798, 0.532, 0.532, 0.532, 0.532, 0.532, 0.532, 0.7999999999999998, 0.6659999999999999, 0.7989999999999999, 0.532, 0.532, 0.532, 0.532, 0.532, 0.532, 0.798, 0.798, 0.532, 0.532, 0.532, 0.532, 0.798, 0.532, 0.6000000000000001, 0.599, 0.532, 0.532, 0.532, 0.6659999999999999, 0.532, 0.532, 0.532, 0.798, 0.7329999999999999, 0.7329999999999999, 0.798, 0.798, 0.532, 0.599, 0.532, 0.532, 0.532, 0.532, 
CyberShake_30, d3.0, 3, 1, 3, 3, 1, 1, 1, 1, 1, 1, 3, 3, 1, 1, 3, 1, 1, 1, 3, 1, 1, 1, 1, 3, 1, 3, 1, 1, 1, 3, 3, 3, 1, 1, 1, 3, 3, 1, 1, 1, 1, 1, 3, 3, 1, 1, 1, 1, 1, 3, 1, 3, 1, 2, 1, 1, 1, 1, 1, 3, 1, 2, 1, 3, 3, 1, 1, 3, 1, 3, 1, 1, 3, 1, 1, 1, 1, 1, 1, 3, 1, 1, 1, 1, 1, 2, 1, 1, 1, 1, 3, 1, 1, 3, 1, 1, 1, 1, 1, 1, 
CyberShake_30, d3.0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 
CyberShake_30, d3.0, 0.532, 0.354, 0.399, 0.532, 0.532, 0.266, 0.266, 0.532, 0.266, 0.532, 0.532, 0.443, 0.377, 0.421, 0.399, 0.354, 0.532, 0.266, 0.399, 0.532, 0.333, 0.266, 0.266, 0.399, 0.266, 0.444, 0.266, 0.5760000000000001, 0.266, 0.399, 0.532, 0.532, 0.266, 0.444, 0.531, 0.532, 0.467, 0.421, 0.399, 0.532, 0.333, 0.266, 0.399, 0.399, 0.466, 0.532, 0.266, 0.399, 0.266, 0.532, 0.443, 0.399, 0.266, 0.5170000000000001, 0.377, 0.532, 0.532, 0.377, 0.31, 0.532, 0.4, 0.5033000000000001, 0.39799999999999996, 0.532, 0.532, 0.532, 0.31, 0.399, 0.266, 0.421, 0.399, 0.266, 0.466, 0.51, 0.266, 0.39799999999999996, 0.46499999999999997, 0.532, 0.266, 0.399, 0.266, 0.4, 0.354, 0.266, 0.266, 0.5064, 0.444, 0.354, 0.399, 0.487, 0.399, 0.532, 0.377, 0.466, 0.266, 0.5760000000000001, 0.333, 0.354, 0.467, 0.532, 
CyberShake_30, d4.0, 3, 1, 3, 1, 3, 1, 3, 1, 3, 1, 1, 1, 1, 1, 3, 1, 1, 1, 1, 1, 3, 1, 3, 3, 2, 3, 3, 4, 1, 3, 1, 3, 3, 3, 3, 3, 3, 1, 1, 3, 3, 3, 1, 1, 1, 1, 3, 3, 1, 1, 1, 3, 1, 3, 1, 1, 1, 3, 1, 1, 1, 1, 3, 1, 3, 3, 3, 3, 1, 3, 3, 1, 3, 3, 3, 3, 3, 1, 3, 3, 3, 1, 3, 3, 3, 1, 1, 1, 3, 2, 1, 3, 1, 1, 1, 3, 1, 3, 3, 1, 
